definition,analysis_unit,rank,name,artist,trials,rejections,observed_rate,baseline_rate,excess_rate,choice_rate,score,z_value,p_value,q_value,rejected_tracks,qualifies
strict_forward_skip,session_track,1,No Guidance (feat. Drake),Chris Brown,10,6,0.6,0.19646959095386246,0.4035304090461375,0.07692307692307693,0.37248960835028083,3.8308940156325737,6.383924847578293e-05,0.003551907122641965,,True
strict_forward_skip,session_track,2,Laugh Now Cry Later (feat. Lil Durk),Drake,22,13,0.5909090909090909,0.22945250666390485,0.36145658424518606,0.1,0.32531092582066745,4.690536180616678,1.3624501891309745e-06,9.896686790493051e-05,,True
strict_forward_skip,session_track,3,If You Want Love,NF,12,7,0.5833333333333334,0.17717857563182837,0.406154757701505,0.25,0.30461606827612875,4.221003206003714,1.2160873860235965e-05,0.0008368601353820276,,True
strict_forward_skip,session_track,4,Bloom,Aqyila,20,11,0.55,0.21845070172149889,0.3315492982785011,0.26666666666666666,0.24313615207090084,4.135193405447163,1.7732791009847554e-05,0.001189006371557727,,True
strict_forward_skip,session_track,5,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,29,14,0.4827586206896552,0.21931394763434753,0.26344467305530767,0.08333333333333333,0.24149095030069867,4.010535597924725,3.0290582662937626e-05,0.0019319481381361438,,True
strict_forward_skip,session_track,6,m y . l i f e (with 21 Savage & Morray),J. Cole,13,7,0.5384615384615384,0.24377992561813816,0.2946816128434003,0.18181818181818182,0.24110313778096384,2.8953551017814365,0.0018936491643636252,0.04716088156962742,,True
strict_forward_skip,session_track,7,WAIT FOR U (feat. Drake & Tems),Future,15,6,0.4,0.07488225521655194,0.32511774478344807,0.25925925925925924,0.2408279590988504,5.303670685066139,5.674849107013589e-08,2.2333562100172805e-05,,True
strict_forward_skip,session_track,8,The Night We Met,Lord Huron,24,13,0.5416666666666666,0.24394115767030167,0.297725508996365,0.2,0.23818040719709202,3.91431241307334,4.5331094422244116e-05,0.002744223956522756,,True
strict_forward_skip,session_track,9,Session 32,Summer Walker,71,19,0.2676056338028169,0.10540665636031453,0.1621989774425024,0.25,0.12164923308187679,4.79357487964878,8.191763366477817e-07,6.120417486668426e-05,,True
strict_forward_skip,recurring_track,1,No Guidance (feat. Drake),Chris Brown,10,6,0.6,0.19410553219991014,0.40589446780008986,0.07692307692307693,0.3746718164308522,3.8611188429429864,5.643449175395664e-05,0.003429379696583458,,True
strict_forward_skip,recurring_track,2,Laugh Now Cry Later (feat. Lil Durk),Drake,22,13,0.5909090909090909,0.22559124020587118,0.36531785070321976,0.10344827586206896,0.327526348906335,4.754731566883984,9.935513106810178e-07,7.417570213741426e-05,,True
strict_forward_skip,recurring_track,3,If You Want Love,NF,11,6,0.5454545454545454,0.18573536146809566,0.3597191839864498,0.26666666666666666,0.2637940682567299,3.5416855985310756,0.00019878952441314423,0.007544310898213761,,True
strict_forward_skip,recurring_track,4,WAIT FOR U (feat. Drake & Tems),Future,14,6,0.42857142857142855,0.07419145672067139,0.35437997185075715,0.2692307692307692,0.2589699794293995,5.583113465315574,1.181252502200428e-08,6.173225576499437e-06,,True
strict_forward_skip,recurring_track,5,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,27,13,0.48148148148148145,0.21136831539692155,0.27011316608455993,0.08823529411764706,0.24627965143003994,4.001421145080251,3.148158928838616e-05,0.0021052458462265354,,True
strict_forward_skip,recurring_track,6,The Night We Met,Lord Huron,24,13,0.5416666666666666,0.24305757332275987,0.2986090933439068,0.18181818181818182,0.2443165309177419,3.9396534280147044,4.0799701555105486e-05,0.002600234638133918,,True
strict_forward_skip,recurring_artist,1,Eyob Mekonen,Eyob Mekonen,37,22,0.5945945945945946,0.2484383024280497,0.34615629216654487,0.09523809523809523,0.31318902624592154,5.66881822424056,7.1892906551551805e-09,2.5665767638903996e-06,12,True
strict_forward_skip,recurring_artist,2,21 Savage,21 Savage,41,17,0.4146341463414634,0.19666257381368424,0.21797157252777918,0.2,0.17437725802222337,4.061512908581152,2.4377860909899136e-05,0.0010238701582157637,6,True
strict_forward_skip,recurring_artist,3,Ed Sheeran,Ed Sheeran,33,11,0.3333333333333333,0.17625836577120535,0.157074967562128,0.23076923076923078,0.12082689812471382,2.729199818828675,0.0031744110557838413,0.045330589876593254,5,True
